tau,B_norm_chi5,env_rms_chi5,B_norm_chi4,env_rms_chi4
43.5500,-0.457956,0.338220,0.867161,0.421012
43.6000,-0.338963,0.346782,0.068278,0.415513
43.6500,-0.516215,0.346287,-0.739508,0.415008
43.7000,-0.791548,0.354131,-0.520706,0.414682
43.7500,-0.320033,0.368417,0.009040,0.414659
43.8000,-0.323357,0.366010,0.435352,0.416135
43.8500,-0.158789,0.373387,0.527451,0.413977
43.9000,0.368599,0.372665,-0.038430,0.411616
43.9500,0.641493,0.382298,-0.387416,0.411243
44.0000,0.133324,0.387861,-0.132554,0.423055
44.0500,0.154042,0.391941,-0.040110,0.438593
44.1000,0.566720,0.392180,-0.293014,0.437910
44.1500,0.133439,0.395112,-0.539752,0.418303
44.2000,-0.263496,0.405408,-0.446996,0.410026
44.2500,0.104805,0.406632,-0.259679,0.410642
44.3000,0.355835,0.404963,-0.315708,0.411866
44.3500,-0.146352,0.404610,-0.020848,0.414382
44.4000,-0.387527,0.389545,0.360527,0.408484
44.4500,-0.200632,0.381546,0.162155,0.406298
44.5000,-0.008118,0.388215,0.311749,0.402544
44.5500,0.363267,0.414272,0.694183,0.388471
44.6000,0.494775,0.411053,0.303227,0.366766
44.6500,0.045564,0.407842,-0.019840,0.372503
44.7000,-0.500911,0.399838,0.161531,0.356705
44.7500,-0.718655,0.380291,0.272519,0.353664
44.8000,-0.616587,0.380251,0.399384,0.367161
44.8500,-0.586907,0.377026,0.327465,0.362093
44.9000,-0.054643,0.378440,-0.031471,0.352790
44.9500,0.549401,0.374837,-0.316403,0.352749
45.0000,0.441308,0.363538,-0.640568,0.348072
45.0500,0.361154,0.373118,-0.763386,0.351445
45.1000,0.087752,0.376016,-0.536511,0.361781
45.1500,0.312529,0.365516,-0.326299,0.368818
45.2000,0.664515,0.368791,-0.009345,0.362188
45.2500,0.277702,0.366849,0.282102,0.362340
45.3000,0.007439,0.370201,0.328303,0.368675
45.3500,-0.021774,0.371029,0.293316,0.365366
