# Combined magnitude data, zeros vs random; N_each=200
# K-S statistic D=0.080000, p=0.527189 (on log10(magnitude))
source,index_or_k,t_or_gamma,magnitude
null,73,168.168595,0.919377884609
null,74,98.657813,13.9426773735
null,75,399.049516,0.084801805035
null,76,210.677149,0.0323084231023
null,77,49.091033,0.239598120482
null,78,32.186921,46.2417548402
null,79,56.324564,0.0432850804831
null,80,256.194172,0.0236758144002
null,81,319.742635,0.149373943166
null,82,176.953747,5.9815043037
null,83,38.521695,0.123009069501
null,84,161.305045,11.5213872523
null,85,398.502853,0.227950277164
null,86,218.238137,1.79344051675
null,87,18.431674,2.42861895793
null,88,292.198622,0.291120522771
null,89,277.140202,6.19981717049
null,90,221.270548,0.542928203917
null,91,116.994523,0.387216969476
null,92,261.411254,0.518661776661
null,93,57.059139,1.09060421014
