n,t_n,nearest_minimum_t,delta_n,delta_n_null
357,606.450000,606.472000,0.022000,0.404126
358,607.140000,607.336000,0.196000,0.397995
359,607.710000,607.720000,0.010000,0.416613
360,616.820000,617.088000,0.268000,0.427424
361,617.010000,617.088000,0.078000,0.426324
362,622.810000,622.688000,0.122000,0.414441
363,625.180000,625.216000,0.036000,0.398437
364,634.730000,634.904000,0.174000,0.414884
365,635.340000,634.904000,0.436000,0.414002
366,644.890000,644.856000,0.034000,0.381525
367,651.110000,652.152000,1.042000,0.420542
368,651.840000,652.152000,0.312000,0.406276
369,652.390000,652.152000,0.238000,0.394386
370,661.170000,661.224000,0.054000,0.434361
371,669.050000,668.328000,0.722000,0.414817
372,669.460000,668.328000,1.132000,0.415188
373,688.350000,688.680000,0.330000,0.430903
374,691.300000,690.896000,0.404000,0.421005
375,697.910000,698.024000,0.114000,0.423017
376,698.250000,698.024000,0.226000,0.420182
377,703.160000,703.808000,0.648000,0.405019
378,710.010000,710.088000,0.078000,0.408679
379,713.160000,713.432000,0.272000,0.429119
380,724.810000,724.872000,0.062000,0.409710
381,727.790000,727.744000,0.046000,0.416503
382,732.600000,732.528000,0.072000,0.437873
383,732.990000,732.912000,0.078000,0.450247
384,741.670000,741.224000,0.446000,0.416694
385,743.840000,743.280000,0.560000,0.428846
386,745.350000,745.128000,0.222000,0.410683
387,749.490000,749.144000,0.346000,0.418452
388,758.610000,758.696000,0.086000,0.426109
389,762.340000,762.256000,0.084000,0.396811
390,771.110000,771.416000,0.306000,0.417577
391,772.080000,772.144000,0.064000,0.416923
392,787.680000,787.552000,0.128000,0.416951
393,801.310000,800.960000,0.350000,0.413421
394,805.270000,805.528000,0.258000,0.400675
395,808.180000,808.584000,0.404000,0.427267
396,816.000000,815.720000,0.280000,0.454501
397,822.800000,821.624000,1.176000,0.422377
398,833.410000,833.256000,0.154000,0.434637
399,833.640000,833.656000,0.016000,0.428590
400,835.070000,834.848000,0.222000,0.405489
401,835.430000,835.464000,0.034000,0.407674
402,840.180000,839.888000,0.292000,0.420863
403,840.430000,840.712000,0.282000,0.415571
404,842.020000,841.304000,0.716000,0.417601
405,842.270000,843.128000,0.858000,0.416635
406,851.660000,851.696000,0.036000,0.418850
407,871.860000,870.768000,1.092000,0.416134
408,882.290000,882.640000,0.350000,0.416450
409,887.120000,886.584000,0.536000,0.394801
410,887.420000,887.920000,0.500000,0.399571
411,897.920000,898.184000,0.264000,0.424422
412,913.300000,913.792000,0.492000,0.440032
413,915.730000,916.072000,0.342000,0.411679
414,916.070000,916.072000,0.002000,0.400853
415,933.850000,933.920000,0.070000,0.415681
416,962.420000,962.688000,0.268000,0.415341
417,977.570000,977.864000,0.294000,0.428706
418,993.860000,993.544000,0.316000,0.422816
419,1007.740000,1007.672000,0.068000,0.419310
420,1018.000000,1017.528000,0.472000,0.415877
421,1023.590000,1023.656000,0.066000,0.407321
422,1023.810000,1023.656000,0.154000,0.412646
423,1034.110000,1033.992000,0.118000,0.401199
424,1036.560000,1036.480000,0.080000,0.405258
425,1053.540000,1053.216000,0.324000,0.418611
426,1067.750000,1067.840000,0.090000,0.412552
427,1075.100000,1074.904000,0.196000,0.412911
428,1080.720000,1081.024000,0.304000,0.381455
429,1098.300000,1098.616000,0.316000,0.428968
430,1103.960000,1103.784000,0.176000,0.425735
431,1104.870000,1105.056000,0.186000,0.414704
432,1115.120000,1115.160000,0.040000,0.421653
433,1117.660000,1117.600000,0.060000,0.415472
434,1144.330000,1144.032000,0.298000,0.419244
435,1148.450000,1148.368000,0.082000,0.408916
436,1159.330000,1159.536000,0.206000,0.397375
437,1168.350000,1168.440000,0.090000,0.424050
438,1168.510000,1168.440000,0.070000,0.422350
439,1172.960000,1173.112000,0.152000,0.407745
440,1177.620000,1177.184000,0.436000,0.434039
441,1188.750000,1188.832000,0.082000,0.399031
442,1204.290000,1203.432000,0.858000,0.415794
443,1217.840000,1217.872000,0.032000,0.408526
444,1229.930000,1230.272000,0.342000,0.400841
445,1256.350000,1255.872000,0.478000,0.430655
446,1297.840000,1297.296000,0.544000,0.410967
447,1298.810000,1298.624000,0.186000,0.396550
448,1319.800000,1319.944000,0.144000,0.397712
449,1333.230000,1333.064000,0.166000,0.413878
450,1362.830000,1363.312000,0.482000,0.433891
451,1379.820000,1380.264000,0.444000,0.443527
452,1394.410000,1394.072000,0.338000,0.413074
453,1408.470000,1409.096000,0.626000,0.404477
454,1413.210000,1413.184000,0.026000,0.406045
