n,t_n,nearest_minimum_t,delta_n,delta_n_null
600,939.024301,939.584000,0.559699,0.435304
601,939.660941,939.584000,0.076941,0.429415
602,941.157000,941.376000,0.219000,0.444356
603,942.052342,941.376000,0.676342,0.440147
604,944.188036,944.320000,0.131964,0.454307
605,945.333563,945.576000,0.242437,0.426439
606,946.765842,946.176000,0.589842,0.416195
607,947.079183,947.960000,0.880817,0.411406
608,948.346646,947.960000,0.386646,0.445447
609,950.151613,949.776000,0.375613,0.444798
610,951.033249,951.168000,0.134751,0.440844
611,952.727989,952.560000,0.167989,0.416548
612,954.129719,954.616000,0.486281,0.456404
613,954.829309,954.616000,0.213309,0.440407
614,956.675479,956.304000,0.371479,0.420879
615,957.510053,957.856000,0.345947,0.426781
616,958.414593,958.576000,0.161407,0.431821
617,959.459169,959.592000,0.132831,0.439163
618,961.669572,961.488000,0.181572,0.411780
619,963.182087,963.384000,0.201913,0.435376
620,963.567040,963.696000,0.128960,0.417659
621,965.055580,965.104000,0.048420,0.430081
622,966.110755,966.208000,0.097245,0.404926
623,967.371154,967.896000,0.524846,0.419977
624,968.636302,968.696000,0.059698,0.419086
625,970.125611,970.368000,0.242389,0.421183
626,971.071491,970.888000,0.183491,0.422750
627,973.185361,972.960000,0.225361,0.428126
628,973.873079,973.496000,0.377079,0.411040
629,974.774635,974.688000,0.086635,0.413100
630,976.178502,976.408000,0.229498,0.414624
631,976.917202,976.752000,0.165202,0.420759
