n,t_n,nearest_minimum_t,delta_n,delta_n_null
322,573.614611,573.472000,0.142611,0.436968
323,575.093886,575.576000,0.482114,0.423128
324,575.807247,575.704000,0.103247,0.413304
325,577.039003,577.160000,0.120997,0.411695
326,579.098835,579.248000,0.149165,0.427699
327,580.136959,579.872000,0.264959,0.419063
328,581.946576,581.496000,0.450576,0.454517
329,583.236088,583.192000,0.044088,0.428393
330,584.561706,584.456000,0.105706,0.424013
331,585.984563,585.864000,0.120563,0.420142
332,586.742772,587.608000,0.865228,0.416998
333,588.139663,588.152000,0.012337,0.421854
334,590.660398,590.848000,0.187602,0.432887
335,591.725858,591.960000,0.234142,0.420434
336,592.571358,592.896000,0.324642,0.416890
337,593.974715,594.392000,0.417285,0.396510
338,595.728154,595.648000,0.080154,0.425578
339,596.362768,595.840000,0.522768,0.448467
340,598.493077,598.576000,0.082923,0.446507
341,599.545640,598.728000,0.817640,0.426553
342,601.602137,600.912000,0.690137,0.416772
343,602.579168,602.800000,0.220832,0.432197
344,603.625619,603.472000,0.153619,0.422803
345,604.616218,604.800000,0.183782,0.424006
346,606.383460,606.096000,0.287460,0.420254
347,608.413217,608.776000,0.362783,0.441897
348,609.389575,608.776000,0.613575,0.432108
349,610.839163,611.552000,0.712837,0.433966
350,611.774210,611.640000,0.134210,0.429677
351,613.599779,614.216000,0.616221,0.432937
352,614.646238,614.304000,0.342238,0.431090
353,615.538563,616.360000,0.821437,0.417625
354,618.112831,618.032000,0.080831,0.434160
355,619.184483,619.208000,0.023517,0.441152
356,620.272894,620.696000,0.423106,0.419884
357,621.709295,622.408000,0.698705,0.444187
358,622.375003,622.408000,0.032997,0.437217
359,624.269900,623.840000,0.429900,0.417573
360,626.019283,625.456000,0.563283,0.409096
361,627.268397,627.064000,0.204397,0.433495
362,628.325862,627.808000,0.517862,0.438162
363,630.473887,631.128000,0.654113,0.437200
364,630.805781,631.128000,0.322219,0.440440
365,632.225141,631.824000,0.401141,0.433769
366,633.546858,634.144000,0.597142,0.411678
367,635.523800,635.152000,0.371800,0.409849
368,637.397193,636.736000,0.661193,0.416854
369,637.925514,638.784000,0.858486,0.444101
370,638.927938,638.784000,0.143938,0.447175
371,640.694795,640.800000,0.105205,0.452357
372,641.945500,641.984000,0.038500,0.435093
373,643.278884,643.272000,0.006884,0.421644
374,644.990578,645.904000,0.913422,0.409810
375,646.348192,646.424000,0.075808,0.452721
376,647.761753,647.776000,0.014247,0.433602
377,648.786401,648.816000,0.029599,0.449663
378,650.197519,649.992000,0.205519,0.437033
379,650.668684,650.472000,0.196684,0.444929
380,653.649572,653.768000,0.118428,0.422750
381,654.301921,654.096000,0.205921,0.426003
382,655.709463,655.424000,0.285463,0.461819
383,656.964085,656.384000,0.580085,0.454937
384,658.175614,658.216000,0.040386,0.437913
385,659.663846,659.464000,0.199846,0.452944
386,660.716733,660.216000,0.500733,0.449800
387,662.296586,662.336000,0.039414,0.434561
388,664.244605,663.744000,0.500605,0.426740
389,665.342763,665.880000,0.537237,0.425029
390,666.515148,666.496000,0.019148,0.437713
391,667.148495,666.496000,0.652495,0.423355
392,668.975849,668.528000,0.447849,0.424298
393,670.323585,669.992000,0.331585,0.403615
394,672.458184,671.776000,0.682184,0.431723
395,673.043578,673.272000,0.228422,0.411973
396,674.355898,675.080000,0.724102,0.432925
397,676.139674,676.968000,0.828326,0.443190
398,677.230181,677.232000,0.001819,0.422857
399,677.800445,677.584000,0.216445,0.417321
400,679.742198,679.600000,0.142198,0.450781
401,681.894992,682.136000,0.241008,0.441476
402,682.602735,682.136000,0.466735,0.457749
403,684.013550,683.864000,0.149550,0.442375
404,684.972630,685.008000,0.035370,0.431448
405,686.163224,686.208000,0.044776,0.430144
406,687.961543,688.112000,0.150457,0.440519
407,689.368941,689.904000,0.535059,0.441547
408,690.474735,690.160000,0.314735,0.417024
409,692.451684,693.136000,0.684316,0.448197
410,693.176970,693.136000,0.040970,0.429503
411,694.533909,694.528000,0.005909,0.422488
412,695.726336,696.176000,0.449664,0.432600
413,696.626070,696.648000,0.021930,0.428047
414,699.132095,699.400000,0.267905,0.409154
415,700.296739,700.632000,0.335261,0.399126
416,701.301743,701.544000,0.242257,0.442138
417,702.227343,702.640000,0.412657,0.429519
418,704.033839,703.920000,0.113839,0.425570
419,705.125814,705.048000,0.077814,0.413127
420,706.184655,706.152000,0.032655,0.395098
421,708.269071,708.008000,0.261071,0.425399
422,709.229589,708.008000,1.221589,0.428947
423,711.130274,711.072000,0.058274,0.424559
424,711.900290,712.256000,0.355710,0.449825
425,712.749383,713.072000,0.322617,0.435006
426,714.082772,713.872000,0.210772,0.444546
427,716.112396,716.224000,0.111604,0.439210
428,717.482570,717.480000,0.002570,0.437622
429,718.742787,718.264000,0.478787,0.428763
430,719.697101,720.008000,0.310899,0.427848
431,721.351162,721.736000,0.384838,0.438775
432,722.277505,722.424000,0.146495,0.420308
433,723.845821,724.328000,0.482179,0.421769
434,724.562614,724.328000,0.234614,0.422429
435,727.056403,727.256000,0.199597,0.429422
436,728.405482,728.848000,0.442518,0.436068
