n,t_n,nearest_minimum_t,delta_n,delta_n_null
511,826.039287,826.088000,0.048713,0.512362
512,826.905811,827.096000,0.190189,0.505286
513,828.340174,828.312000,0.028174,0.502218
514,829.437011,829.536000,0.098989,0.512297
515,830.895884,830.272000,0.623884,0.541503
516,831.799778,832.208000,0.408222,0.528824
517,833.003641,832.920000,0.083641,0.534349
518,834.651915,834.688000,0.036085,0.513530
519,836.693576,836.656000,0.037576,0.530064
520,837.347335,836.656000,0.691335,0.525812
521,838.249022,838.232000,0.017022,0.525507
522,839.465395,838.232000,1.233395,0.549991
523,841.036390,841.096000,0.059610,0.535261
524,842.041354,842.304000,0.262646,0.552430
525,844.166197,842.304000,1.862197,0.526906
526,844.805994,846.944000,2.138006,0.518751
527,846.194770,846.944000,0.749230,0.521848
528,847.971718,847.808000,0.163718,0.545580
529,848.489281,848.616000,0.126719,0.551454
530,849.862274,849.088000,0.774274,0.535941
531,850.645448,851.792000,1.146552,0.515636
532,853.163113,854.096000,0.932887,0.507715
533,854.095512,854.096000,0.000488,0.540511
534,855.286710,855.504000,0.217290,0.532442
535,856.484117,856.920000,0.435883,0.502964
536,857.310741,857.696000,0.385259,0.512564
537,858.904026,858.984000,0.079974,0.549265
538,860.410671,860.360000,0.050671,0.577666
539,861.171098,861.784000,0.612902,0.558422
540,863.189720,863.176000,0.013720,0.504693
541,864.340824,864.392000,0.051176,0.510498
542,865.594664,865.904000,0.309336,0.533889
543,866.423740,866.496000,0.072260,0.524405
544,867.693123,867.376000,0.317123,0.528037
545,868.670494,867.376000,1.294494,0.530363
546,870.846902,871.168000,0.321098,0.543189
547,872.188751,872.136000,0.052751,0.534280
548,873.098979,872.928000,0.170979,0.528027
549,873.908389,874.128000,0.219611,0.527669
550,875.985285,876.240000,0.254715,0.501991
551,876.600826,876.808000,0.207174,0.513718
552,877.654698,877.944000,0.289302,0.565823
553,879.380952,878.432000,0.948952,0.526214
554,880.834649,880.872000,0.037351,0.515434
555,882.386697,882.648000,0.261303,0.520851
556,883.430332,883.296000,0.134332,0.515698
557,884.198743,884.368000,0.169257,0.512725
558,885.272304,885.224000,0.048304,0.520604
559,886.852802,886.936000,0.083198,0.509469
560,888.475567,887.608000,0.867567,0.501885
561,889.735294,889.480000,0.255294,0.542534
562,890.813132,890.816000,0.002868,0.506239
563,892.386433,892.704000,0.317567,0.503092
564,893.119118,893.184000,0.064882,0.522627
565,894.886292,893.472000,1.414292,0.508519
566,895.397920,896.656000,1.258080,0.508538
567,896.632252,896.656000,0.023748,0.517998
568,899.221523,900.880000,1.658477,0.516941
569,899.858885,900.880000,1.021115,0.527824
570,900.849740,900.880000,0.030260,0.478601
571,902.243208,902.192000,0.051208,0.512460
572,903.099674,903.648000,0.548326,0.531246
573,904.702903,904.136000,0.566903,0.495747
574,905.829941,906.344000,0.514059,0.531334
575,907.656729,906.344000,1.312729,0.497669
576,908.333544,906.344000,1.989544,0.511135
577,910.186334,910.440000,0.253666,0.484141
