n,t_n,nearest_minimum_t,delta_n,delta_n_null
505,818.380669,818.496000,0.115331,1.818786
506,819.204642,818.496000,0.708642,1.791913
507,820.721898,820.232000,0.489898,1.765336
508,821.713454,820.232000,1.481454,1.762161
509,822.197757,820.232000,1.965757,1.757009
510,824.526294,824.904000,0.377706,1.730523
511,826.039287,826.824000,0.784713,1.753514
512,826.905811,826.824000,0.081811,1.723852
513,828.340174,828.624000,0.283826,1.757545
514,829.437011,830.200000,0.762989,1.749422
515,830.895884,830.200000,0.695884,1.754782
516,831.799778,830.200000,1.599778,1.738588
517,833.003641,830.200000,2.803641,1.768825
518,834.651915,830.200000,4.451915,1.755342
519,836.693576,839.696000,3.002424,1.769153
520,837.347335,839.696000,2.348665,1.800304
521,838.249022,839.696000,1.446978,1.794704
522,839.465395,839.696000,0.230605,1.757388
523,841.036390,839.696000,1.340390,1.734050
524,842.041354,843.672000,1.630646,1.751297
525,844.166197,843.672000,0.494197,1.701551
526,844.805994,845.248000,0.442006,1.693003
527,846.194770,846.312000,0.117230,1.738711
528,847.971718,848.536000,0.564282,1.803938
529,848.489281,848.536000,0.046719,1.809522
530,849.862274,849.208000,0.654274,1.803407
531,850.645448,851.440000,0.794552,1.780811
532,853.163113,851.440000,1.723113,1.666069
533,854.095512,855.952000,1.856488,1.689718
534,855.286710,855.952000,0.665290,1.682351
535,856.484117,855.952000,0.532117,1.679743
536,857.310741,855.952000,1.358741,1.711627
537,858.904026,861.016000,2.111974,1.767605
538,860.410671,861.016000,0.605329,1.804857
539,861.171098,861.016000,0.155098,1.821036
540,863.189720,862.360000,0.829720,1.797226
541,864.340824,862.360000,1.980824,1.785555
542,865.594664,868.440000,2.845336,1.775763
543,866.423740,868.440000,2.016260,1.788881
544,867.693123,868.440000,0.746877,1.738573
545,868.670494,868.440000,0.230494,1.736818
546,870.846902,868.440000,2.406902,1.801367
547,872.188751,873.960000,1.771249,1.850857
548,873.098979,873.960000,0.861021,1.879239
549,873.908389,873.960000,0.051611,1.874077
550,875.985285,876.504000,0.518715,1.825712
551,876.600826,876.504000,0.096826,1.831397
552,877.654698,876.504000,1.150698,1.829270
553,879.380952,876.504000,2.876952,1.802712
554,880.834649,883.560000,2.725351,1.770832
555,882.386697,883.560000,1.173303,1.746991
556,883.430332,883.560000,0.129668,1.774066
557,884.198743,884.568000,0.369257,1.801119
558,885.272304,884.568000,0.704304,1.796703
559,886.852802,887.360000,0.507198,1.733899
560,888.475567,887.360000,1.115567,1.717268
561,889.735294,891.312000,1.576706,1.711471
562,890.813132,891.312000,0.498868,1.687023
563,892.386433,891.312000,1.074433,1.696645
564,893.119118,894.496000,1.376882,1.702575
565,894.886292,894.496000,0.390292,1.688457
566,895.397920,894.496000,0.901920,1.677377
567,896.632252,896.560000,0.072252,1.654590
568,899.221523,898.200000,1.021523,1.674924
569,899.858885,898.200000,1.658885,1.682387
570,900.849740,901.600000,0.750260,1.649893
571,902.243208,902.600000,0.356792,1.691661
572,903.099674,902.600000,0.499674,1.729544
573,904.702903,902.600000,2.102903,1.737137
574,905.829941,902.600000,3.229941,1.770038
575,907.656729,902.600000,5.056729,1.754770
576,908.333544,902.600000,5.733544,1.767243
577,910.186334,917.448000,7.261666,1.773703
578,911.234951,917.448000,6.213049,1.760905
579,912.331046,917.448000,5.116954,1.791313
580,912.823999,917.448000,4.624001,1.817781
581,914.730097,917.448000,2.717903,1.772813
582,916.355001,917.448000,1.092999,1.743531
583,917.825378,917.448000,0.377378,1.703767
584,918.836535,918.288000,0.548535,1.683387
585,919.448344,918.288000,1.160344,1.703651
586,921.156396,921.976000,0.819604,1.801922
587,922.500629,921.976000,0.524629,1.784369
588,923.285720,921.976000,1.309720,1.764757
589,924.773484,926.984000,2.210516,1.729175
590,926.551553,926.984000,0.432447,1.741912
591,927.850859,926.984000,0.866859,1.802948
592,928.663659,930.240000,1.576341,1.793685
593,929.874093,930.240000,0.365907,1.779965
594,931.009211,930.240000,0.769211,1.738701
595,931.852741,932.232000,0.379259,1.713870
596,934.385307,936.424000,2.038693,1.704582
597,934.995425,936.424000,1.428575,1.706448
598,936.228649,936.424000,0.195351,1.690920
599,937.532926,936.424000,1.108926,1.767575
600,939.024301,936.424000,2.600301,1.775506
601,939.660941,936.424000,3.236941,1.785582
602,941.157000,945.704000,4.547000,1.786687
603,942.052342,945.704000,3.651658,1.783075
604,944.188036,945.704000,1.515964,1.803373
605,945.333563,945.704000,0.370437,1.793608
606,946.765842,945.704000,1.061842,1.840993
607,947.079183,945.704000,1.375183,1.854560
608,948.346646,945.704000,2.642646,1.859789
609,950.151613,951.536000,1.384387,1.878414
610,951.033249,951.536000,0.502751,1.894878
611,952.727989,951.536000,1.191989,1.859321
612,954.129719,954.520000,0.390281,1.842273
613,954.829309,954.520000,0.309309,1.811956
614,956.675479,955.520000,1.155479,1.768280
615,957.510053,955.520000,1.990053,1.771698
616,958.414593,959.832000,1.417407,1.782157
617,959.459169,959.832000,0.372831,1.787226
618,961.669572,960.344000,1.325572,1.744056
619,963.182087,964.952000,1.769913,1.776564
620,963.567040,964.952000,1.384960,1.772879
621,965.055580,964.952000,0.103580,1.827231
622,966.110755,964.952000,1.158755,1.871107
623,967.371154,969.080000,1.708846,1.869167
624,968.636302,969.080000,0.443698,1.848223
625,970.125611,969.080000,1.045611,1.771397
626,971.071491,972.408000,1.336509,1.725720
627,973.185361,972.408000,0.777361,1.775572
628,973.873079,974.360000,0.486921,1.767656
629,974.774635,974.360000,0.414635,1.759490
630,976.178502,974.360000,1.818502,1.799903
631,976.917202,974.360000,2.557202,1.814503
