n,t_n,nearest_minimum_t,delta_n,delta_n_null
481,786.461147,786.392000,0.069147,0.437786
482,787.468464,787.560000,0.091536,0.442528
483,790.059092,790.152000,0.092908,0.444801
484,790.831620,790.768000,0.063620,0.412975
485,792.427708,792.848000,0.420292,0.436111
486,792.888653,792.848000,0.040653,0.440589
487,794.483792,794.288000,0.195792,0.474016
488,795.606596,795.576000,0.030596,0.473286
489,797.263470,797.240000,0.023470,0.424456
490,798.707570,798.592000,0.115570,0.445518
491,799.654336,800.320000,0.665664,0.439739
492,801.604246,801.944000,0.339754,0.446220
493,802.541985,802.656000,0.114015,0.424618
494,803.243096,803.152000,0.091096,0.434307
495,804.762239,804.936000,0.173761,0.448600
496,805.861636,805.824000,0.037636,0.420535
497,808.151815,808.024000,0.127815,0.449938
498,809.197783,809.720000,0.522217,0.457965
499,810.081805,809.720000,0.361805,0.443847
500,811.184359,811.280000,0.095641,0.421475
501,812.771108,812.600000,0.171108,0.446884
502,814.045914,814.536000,0.490086,0.445321
503,814.870540,814.536000,0.334540,0.435908
504,816.727738,816.704000,0.023738,0.482046
505,818.380669,818.520000,0.139331,0.451993
506,819.204642,819.584000,0.379358,0.458590
507,820.721898,820.384000,0.337898,0.424393
508,821.713454,821.344000,0.369454,0.430313
509,822.197757,822.224000,0.026243,0.434793
510,824.526294,824.432000,0.094294,0.432829
511,826.039287,826.792000,0.752713,0.421613
512,826.905811,826.792000,0.113811,0.418352
513,828.340174,828.712000,0.371826,0.431248
514,829.437011,829.352000,0.085011,0.428428
515,830.895884,830.904000,0.008116,0.444273
516,831.799778,831.680000,0.119778,0.434803
517,833.003641,832.808000,0.195641,0.456485
518,834.651915,834.344000,0.307915,0.417931
519,836.693576,836.120000,0.573576,0.460457
520,837.347335,836.120000,1.227335,0.455627
521,838.249022,838.776000,0.526978,0.449260
522,839.465395,839.376000,0.089395,0.444382
523,841.036390,841.160000,0.123610,0.452097
524,842.041354,842.256000,0.214646,0.459035
525,844.166197,844.424000,0.257803,0.450722
526,844.805994,844.424000,0.381994,0.423671
527,846.194770,846.336000,0.141230,0.430205
528,847.971718,848.488000,0.516282,0.455439
529,848.489281,848.488000,0.001281,0.469099
530,849.862274,850.208000,0.345726,0.449496
531,850.645448,850.904000,0.258552,0.439886
532,853.163113,853.208000,0.044887,0.441791
533,854.095512,854.336000,0.240488,0.464874
534,855.286710,854.672000,0.614710,0.434752
535,856.484117,856.456000,0.028117,0.425816
536,857.310741,857.000000,0.310741,0.429107
537,858.904026,859.544000,0.639974,0.447670
538,860.410671,860.360000,0.050671,0.462983
539,861.171098,861.112000,0.059098,0.452608
540,863.189720,862.328000,0.861720,0.415207
541,864.340824,864.080000,0.260824,0.425408
542,865.594664,865.880000,0.285336,0.436636
543,866.423740,866.320000,0.103740,0.434369
544,867.693123,867.536000,0.157123,0.448365
545,868.670494,868.240000,0.430494,0.438314
546,870.846902,871.000000,0.153098,0.443253
547,872.188751,872.016000,0.172751,0.437412
548,873.098979,873.136000,0.037021,0.447647
549,873.908389,873.136000,0.772389,0.438404
550,875.985285,876.144000,0.158715,0.421687
551,876.600826,876.536000,0.064826,0.425410
552,877.654698,878.312000,0.657302,0.457866
553,879.380952,879.776000,0.395048,0.435623
554,880.834649,880.512000,0.322649,0.416407
555,882.386697,883.632000,1.245303,0.447583
556,883.430332,883.632000,0.201668,0.442938
557,884.198743,883.632000,0.566743,0.445997
558,885.272304,885.352000,0.079696,0.443670
559,886.852802,887.144000,0.291198,0.418677
560,888.475567,888.160000,0.315567,0.409775
561,889.735294,889.672000,0.063294,0.460088
562,890.813132,890.328000,0.485132,0.423503
563,892.386433,892.296000,0.090433,0.417684
564,893.119118,893.552000,0.432882,0.439665
565,894.886292,895.008000,0.121708,0.438795
566,895.397920,895.008000,0.389920,0.437878
567,896.632252,896.520000,0.112252,0.421368
568,899.221523,899.696000,0.474477,0.430120
569,899.858885,900.008000,0.149115,0.440671
570,900.849740,900.416000,0.433740,0.409043
571,902.243208,902.056000,0.187208,0.439292
572,903.099674,902.912000,0.187674,0.447495
573,904.702903,904.552000,0.150903,0.418316
574,905.829941,905.848000,0.018059,0.446266
575,907.656729,907.616000,0.040729,0.418529
576,908.333544,908.280000,0.053544,0.427360
577,910.186334,909.888000,0.298334,0.402975
578,911.234951,911.464000,0.229049,0.445198
579,912.331046,912.512000,0.180954,0.448505
580,912.823999,912.512000,0.311999,0.455508
581,914.730097,914.920000,0.189903,0.441134
582,916.355001,916.024000,0.331001,0.437619
583,917.825378,916.832000,0.993378,0.441498
584,918.836535,919.728000,0.891465,0.426267
585,919.448344,919.728000,0.279656,0.431559
586,921.156396,920.600000,0.556396,0.447437
587,922.500629,923.328000,0.827371,0.432645
588,923.285720,923.328000,0.042280,0.441141
589,924.773484,924.632000,0.141484,0.426817
590,926.551553,926.400000,0.151553,0.434811
591,927.850859,927.888000,0.037141,0.431374
592,928.663659,928.624000,0.039659,0.449021
593,929.874093,929.800000,0.074093,0.449792
594,931.009211,931.224000,0.214789,0.431944
595,931.852741,932.160000,0.307259,0.429919
596,934.385307,935.128000,0.742693,0.442462
597,934.995425,935.128000,0.132575,0.437685
598,936.228649,936.128000,0.100649,0.442717
599,937.532926,938.576000,1.043074,0.445244
600,939.024301,939.208000,0.183699,0.446116
601,939.660941,939.208000,0.452941,0.466328
602,941.157000,941.280000,0.123000,0.437726
603,942.052342,942.160000,0.107658,0.446021
604,944.188036,944.056000,0.132036,0.443214
605,945.333563,945.856000,0.522437,0.425265
606,946.765842,945.856000,0.909842,0.422064
607,947.079183,945.856000,1.223183,0.434916
608,948.346646,948.328000,0.018646,0.447930
609,950.151613,948.624000,1.527613,0.434543
610,951.033249,952.136000,1.102751,0.433284
611,952.727989,952.336000,0.391989,0.424122
612,954.129719,954.160000,0.030281,0.427391
613,954.829309,954.840000,0.010691,0.415503
614,956.675479,956.848000,0.172521,0.427608
615,957.510053,957.240000,0.270053,0.448751
616,958.414593,958.232000,0.182593,0.440229
617,959.459169,959.704000,0.244831,0.441682
618,961.669572,962.376000,0.706428,0.436859
619,963.182087,963.528000,0.345913,0.424838
620,963.567040,963.528000,0.039040,0.407226
621,965.055580,965.144000,0.088420,0.458694
622,966.110755,966.304000,0.193245,0.449497
623,967.371154,967.280000,0.091154,0.436535
624,968.636302,968.912000,0.275698,0.440842
625,970.125611,970.328000,0.202389,0.430247
626,971.071491,970.328000,0.743491,0.435567
627,973.185361,973.952000,0.766639,0.443596
628,973.873079,973.952000,0.078921,0.462254
629,974.774635,974.528000,0.246635,0.454583
630,976.178502,976.256000,0.077498,0.443770
631,976.917202,976.256000,0.661202,0.446135
