n,t_n,nearest_minimum_t,delta_n,nearest_null_minimum_t,delta_n_null,bin
321,572.419984,572.016000,0.403984,,0.408326,"[300,650)"
322,573.614611,573.848000,0.233389,,0.429106,"[300,650)"
323,575.093886,574.528000,0.565886,,0.402865,"[300,650)"
324,575.807247,576.816000,1.008753,,0.388596,"[300,650)"
325,577.039003,576.816000,0.223003,,0.390710,"[300,650)"
326,579.098835,579.272000,0.173165,,0.411859,"[300,650)"
327,580.136959,580.448000,0.311041,,0.400225,"[300,650)"
328,581.946576,582.424000,0.477424,,0.420356,"[300,650)"
329,583.236088,583.512000,0.275912,,0.416994,"[300,650)"
330,584.561706,584.512000,0.049706,,0.427516,"[300,650)"
331,585.984563,586.600000,0.615437,,0.400769,"[300,650)"
332,586.742772,586.600000,0.142772,,0.401046,"[300,650)"
333,588.139663,588.280000,0.140337,,0.398738,"[300,650)"
334,590.660398,590.896000,0.235602,,0.407162,"[300,650)"
335,591.725858,591.728000,0.002142,,0.411466,"[300,650)"
336,592.571358,591.728000,0.843358,,0.408126,"[300,650)"
337,593.974715,594.256000,0.281285,,0.394159,"[300,650)"
338,595.728154,596.512000,0.783846,,0.430731,"[300,650)"
339,596.362768,596.512000,0.149232,,0.434180,"[300,650)"
340,598.493077,598.592000,0.098923,,0.429021,"[300,650)"
341,599.545640,599.632000,0.086360,,0.412934,"[300,650)"
342,601.602137,601.624000,0.021863,,0.402510,"[300,650)"
343,602.579168,602.248000,0.331168,,0.410196,"[300,650)"
344,603.625619,603.352000,0.273619,,0.417225,"[300,650)"
345,604.616218,605.568000,0.951782,,0.412466,"[300,650)"
346,606.383460,606.472000,0.088540,,0.403265,"[300,650)"
347,608.413217,608.480000,0.066783,,0.428829,"[300,650)"
348,609.389575,609.064000,0.325575,,0.429864,"[300,650)"
349,610.839163,610.728000,0.111163,,0.431470,"[300,650)"
350,611.774210,610.728000,1.046210,,0.428039,"[300,650)"
351,613.599779,613.816000,0.216221,,0.424881,"[300,650)"
352,614.646238,615.224000,0.577762,,0.435321,"[300,650)"
353,615.538563,615.224000,0.314563,,0.428982,"[300,650)"
354,618.112831,617.440000,0.672831,,0.409883,"[300,650)"
355,619.184483,619.520000,0.335517,,0.436940,"[300,650)"
356,620.272894,620.104000,0.168894,,0.413345,"[300,650)"
357,621.709295,622.032000,0.322705,,0.431314,"[300,650)"
358,622.375003,622.688000,0.312997,,0.423374,"[300,650)"
359,624.269900,624.000000,0.269900,,0.404733,"[300,650)"
360,626.019283,626.536000,0.516717,,0.380868,"[300,650)"
361,627.268397,627.024000,0.244397,,0.412949,"[300,650)"
362,628.325862,628.768000,0.442138,,0.411880,"[300,650)"
363,630.473887,631.088000,0.614113,,0.417001,"[300,650)"
