n,g_n
2693,3227.1637421861
2694,3228.1703986914
2695,3229.1770049076
2696,3230.1835608577
2697,3231.1900665649
2698,3232.1965220525
2699,3233.2029273436
2700,3234.2092824613
2701,3235.2155874287
2702,3236.2218422689
2703,3237.2280470050
2704,3238.2342016600
2705,3239.2403062571
2706,3240.2463608191
2707,3241.2523653691
2708,3242.2583199300
2709,3243.2642245249
2710,3244.2700791767
2711,3245.2758839082
2712,3246.2816387424
2713,3247.2873437022
2714,3248.2929988104
2715,3249.2986040898
2716,3250.3041595634
2717,3251.3096652538
2718,3252.3151211839
2719,3253.3205273765
2720,3254.3258838542
2721,3255.3311906399
2722,3256.3364477562
2723,3257.3416552259
2724,3258.3468130715
2725,3259.3519213158
2726,3260.3569799813
2727,3261.3619890908
2728,3262.3669486668
2729,3263.3718587318
2730,3264.3767193085
2731,3265.3815304194
2732,3266.3862920870
2733,3267.3910043337
2734,3268.3956671822
2735,3269.4002806548
2736,3270.4048447740
2737,3271.4093595623
2738,3272.4138250420
2739,3273.4182412355
2740,3274.4226081653
2741,3275.4269258536
2742,3276.4311943228
2743,3277.4354135952
2744,3278.4395836932
2745,3279.4437046390
2746,3280.4477764548
2747,3281.4517991629
2748,3282.4557727856
2749,3283.4596973451
2750,3284.4635728634
2751,3285.4673993629
2752,3286.4711768657
2753,3287.4749053938
2754,3288.4785849695
2755,3289.4822156147
2756,3290.4857973517
2757,3291.4893302024
2758,3292.4928141890
2759,3293.4962493333
2760,3294.4996356576
2761,3295.5029731836
2762,3296.5062619334
2763,3297.5095019290
2764,3298.5126931923
2765,3299.5158357452
2766,3300.5189296097
2767,3301.5219748075
2768,3302.5249713606
2769,3303.5279192907
2770,3304.5308186199
2771,3305.5336693698
2772,3306.5364715622
2773,3307.5392252189
2774,3308.5419303617
2775,3309.5445870124
2776,3310.5471951926
2777,3311.5497549240
2778,3312.5522662283
2779,3313.5547291273
2780,3314.5571436425
2781,3315.5595097956
2782,3316.5618276083
2783,3317.5640971020
2784,3318.5663182984
2785,3319.5684912190
2786,3320.5706158855
2787,3321.5726923193
2788,3322.5747205419
2789,3323.5767005749
2790,3324.5786324396
2791,3325.5805161577
2792,3326.5823517504
